web-scraper-order,web-scraper-start-url,containers,containers-href,Superficie,Prix,Adresse,Lien_image,Lien_image-href
"1752436375-68","https://sn.coinafrique.com/categorie/terrains","150 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-200m-almadies-zone-de-recasement-5410912","200","150 000 000 CFA","Almadies, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-200m-almadies-zone-de-recasement-5410912#"
"1752436380-69","https://sn.coinafrique.com/categorie/terrains","370 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-367m-a-dieuppeul-5381838","367","370 000 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-367m-a-dieuppeul-5381838#"
"1752436385-70","https://sn.coinafrique.com/categorie/terrains","25 000 000CFA","https://sn.coinafrique.com/annonce/terrains/champ-de-2-hectares-a-sandiara-5411049","20000 m2","25 000 000 CFA","Mbour, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/champ-de-2-hectares-a-sandiara-5411049#"
"1752436389-71","https://sn.coinafrique.com/categorie/terrains","7 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-150m-sebikotane-5421111","150 m2","7 000 000 CFA","Diamniadio, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-150m-sebikotane-5421111#"
"1752436393-72","https://sn.coinafrique.com/categorie/terrains","650 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-a-ngor-almadies-5406530","563","650 000 000 CFA","Ngor, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-a-ngor-almadies-5406530#"
"1752436397-73","https://sn.coinafrique.com/categorie/terrains","180 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-diamniadio-5421181","2777 m2","180 000 000 CFA","Saint Louis, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-diamniadio-5421181#"
"1752436401-74","https://sn.coinafrique.com/categorie/terrains","2 500 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-a-diass-5386593","150 m2","2 500 000 CFA","Point E, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-a-diass-5386593#"
"1752436405-75","https://sn.coinafrique.com/categorie/terrains","2 600 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-300m-a-malicounda-5386599","300 m2","2 600 000 CFA","Malikounda, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-300m-a-malicounda-5386599#"
"1752436410-76","https://sn.coinafrique.com/categorie/terrains","30 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-almadies-2-5394924","150","30 000 000 CFA","Almadies 2, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-almadies-2-5394924#"
"1752436415-77","https://sn.coinafrique.com/categorie/terrains","2 400 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-829-m-dakar-plateau-5421511","829","2 400 000 CFA","Dakar Plateau, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-829-m-dakar-plateau-5421511#"
"1752436420-78","https://sn.coinafrique.com/categorie/terrains","4 950 000 CFA","https://sn.coinafrique.com/annonce/terrains/terrain-agricole-diogo-5313640","500000 m2","4 950 000 CFA","Thies, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-agricole-diogo-5313640#"
"1752436424-79","https://sn.coinafrique.com/categorie/terrains","80 000 000 CFA","https://sn.coinafrique.com/annonce/terrains/terrains-167m-hangar-pelerin-yoff-5391366","167","80 000 000 CFA","Yoff, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-167m-hangar-pelerin-yoff-5391366#"
"1752436429-80","https://sn.coinafrique.com/categorie/terrains","2 950 000 CFA","https://sn.coinafrique.com/annonce/terrains/parcelle-mboro-sur-mer-5373555","300 m2","2 950 000 CFA","Thies, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/parcelle-mboro-sur-mer-5373555#"
"1752436433-81","https://sn.coinafrique.com/categorie/terrains","17 000 000 CFA","https://sn.coinafrique.com/annonce/terrains/terrains-tf-a-kounoune-5415098","150 m2","17 000 000 CFA","Almadies 2, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-tf-a-kounoune-5415098#"
"1752436438-82","https://sn.coinafrique.com/categorie/terrains","6 000 CFA","https://sn.coinafrique.com/annonce/terrains/terrains-24114m-mbao-5417274","24114","6 000 CFA","Mbao, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-24114m-mbao-5417274#"
"1752436442-83","https://sn.coinafrique.com/categorie/terrains","3 000 000 CFA","https://sn.coinafrique.com/annonce/terrains/terrains-300m-malikounda-5389132","300","3 000 000 CFA","Malikounda, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-300m-malikounda-5389132#"
"1752436444-84","https://sn.coinafrique.com/categorie/terrains","4 950 000 CFA","https://sn.coinafrique.com/annonce/terrains/terrain-agricoleaccompagnement-diogo-5313635","200000 m2","4 950 000 CFA","Thies, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-agricoleaccompagnement-diogo-5313635#"
"1752436448-85","https://sn.coinafrique.com/categorie/terrains","280 000 000 CFA","https://sn.coinafrique.com/annonce/terrains/terrain-262m-a-mermoz-sotrac-5391435","262 m2","280 000 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-262m-a-mermoz-sotrac-5391435#"
"1752436452-86","https://sn.coinafrique.com/categorie/terrains","15 599 500 CFA","https://sn.coinafrique.com/annonce/terrains/parcelle-600m-mboro-plage-5415803","600 m2","15 599 500 CFA","Thies, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/parcelle-600m-mboro-plage-5415803#"
"1752436456-87","https://sn.coinafrique.com/categorie/terrains","185 000 000 CFA","https://sn.coinafrique.com/annonce/terrains/terrain-235-m2-angle-a-la-cite-djily-mbaye-yoff-5391350","235","185 000 000 CFA","Yoff, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-235-m2-angle-a-la-cite-djily-mbaye-yoff-5391350#"
